,Price Option Lookup,,,,Pricing Unit,,,,,
N,"Pvr Inox City Square Mall, Ajmer, Rajasthan",CINEMA000325,SCREEN-2ADFILM,CINEMA000325SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Square Mall, Ajmer, Rajasthan",CINEMA000325,SCREEN-2ADFILM,CINEMA000325SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Square Mall, Ajmer, Rajasthan",CINEMA000325,SCREEN-2SLIDE,CINEMA000325SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Square Mall, Ajmer, Rajasthan",CINEMA000325,SCREEN-2SLIDE,CINEMA000325SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Square Mall, Ajmer, Rajasthan",CINEMA000325,SCREEN-3ADFILM,CINEMA000325SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Square Mall, Ajmer, Rajasthan",CINEMA000325,SCREEN-3ADFILM,CINEMA000325SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Square Mall, Ajmer, Rajasthan",CINEMA000325,SCREEN-3SLIDE,CINEMA000325SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Square Mall, Ajmer, Rajasthan",CINEMA000325,SCREEN-3SLIDE,CINEMA000325SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-1ADFILM,CINEMA000326SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-1ADFILM,CINEMA000326SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-1SLIDE,CINEMA000326SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-1SLIDE,CINEMA000326SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-2ADFILM,CINEMA000326SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-2ADFILM,CINEMA000326SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-2SLIDE,CINEMA000326SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-2SLIDE,CINEMA000326SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-3ADFILM,CINEMA000326SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-3ADFILM,CINEMA000326SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-3SLIDE,CINEMA000326SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-3SLIDE,CINEMA000326SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-4ADFILM,CINEMA000326SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-4ADFILM,CINEMA000326SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-4SLIDE,CINEMA000326SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Mittal Mall Ajmer, Ajmer, Rajasthan",CINEMA000326,SCREEN-4SLIDE,CINEMA000326SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-1ADFILM,CINEMA000327SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-1ADFILM,CINEMA000327SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-1SLIDE,CINEMA000327SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-1SLIDE,CINEMA000327SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-2ADFILM,CINEMA000327SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-2ADFILM,CINEMA000327SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-2SLIDE,CINEMA000327SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-2SLIDE,CINEMA000327SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-3ADFILM,CINEMA000327SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-3ADFILM,CINEMA000327SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-3SLIDE,CINEMA000327SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Centre Mall, Bhilwara, Bhilwara, Rajasthan",CINEMA000327,SCREEN-3SLIDE,CINEMA000327SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-1ADFILM,CINEMA000328SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-1ADFILM,CINEMA000328SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-1SLIDE,CINEMA000328SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-1SLIDE,CINEMA000328SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-2ADFILM,CINEMA000328SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-2ADFILM,CINEMA000328SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-2SLIDE,CINEMA000328SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-2SLIDE,CINEMA000328SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-3ADFILM,CINEMA000328SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-3ADFILM,CINEMA000328SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-3SLIDE,CINEMA000328SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Reliance Mall, Chittor Road, Bhilwara, Rajasthan",CINEMA000328,SCREEN-3SLIDE,CINEMA000328SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-1ADFILM,CINEMA000329SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-1ADFILM,CINEMA000329SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-1SLIDE,CINEMA000329SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-1SLIDE,CINEMA000329SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-2ADFILM,CINEMA000329SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-2ADFILM,CINEMA000329SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-2SLIDE,CINEMA000329SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-2SLIDE,CINEMA000329SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-3ADFILM,CINEMA000329SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-3ADFILM,CINEMA000329SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-3SLIDE,CINEMA000329SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-3SLIDE,CINEMA000329SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-4ADFILM,CINEMA000329SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-4ADFILM,CINEMA000329SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-4SLIDE,CINEMA000329SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Genesis Mall, Bhiwadi, Rajasthan",CINEMA000329,SCREEN-4SLIDE,CINEMA000329SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-1ADFILM,CINEMA000330SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-1ADFILM,CINEMA000330SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-1SLIDE,CINEMA000330SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-1SLIDE,CINEMA000330SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-2ADFILM,CINEMA000330SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-2ADFILM,CINEMA000330SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-2SLIDE,CINEMA000330SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-2SLIDE,CINEMA000330SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-3ADFILM,CINEMA000330SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-3ADFILM,CINEMA000330SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-3SLIDE,CINEMA000330SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Crystal Palm, Jaipur, Rajasthan",CINEMA000330,SCREEN-3SLIDE,CINEMA000330SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-1ADFILM,CINEMA000331SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-1ADFILM,CINEMA000331SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-1SLIDE,CINEMA000331SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-1SLIDE,CINEMA000331SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-2ADFILM,CINEMA000331SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-2ADFILM,CINEMA000331SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-2SLIDE,CINEMA000331SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-2SLIDE,CINEMA000331SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-3ADFILM,CINEMA000331SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-3ADFILM,CINEMA000331SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-3SLIDE,CINEMA000331SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Elements Mall, Jaipur, Rajasthan",CINEMA000331,SCREEN-3SLIDE,CINEMA000331SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-1ADFILM,CINEMA000332SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-1ADFILM,CINEMA000332SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-1SLIDE,CINEMA000332SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-1SLIDE,CINEMA000332SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-2ADFILM,CINEMA000332SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-2ADFILM,CINEMA000332SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-2SLIDE,CINEMA000332SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-2SLIDE,CINEMA000332SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-3ADFILM,CINEMA000332SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-3ADFILM,CINEMA000332SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-3SLIDE,CINEMA000332SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-3SLIDE,CINEMA000332SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-4ADFILM,CINEMA000332SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-4ADFILM,CINEMA000332SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-4SLIDE,CINEMA000332SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-4SLIDE,CINEMA000332SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-5ADFILM,CINEMA000332SCREEN-5ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-5ADFILM,CINEMA000332SCREEN-5ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-5SLIDE,CINEMA000332SCREEN-5SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-5SLIDE,CINEMA000332SCREEN-5SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-6ADFILM,CINEMA000332SCREEN-6ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-6ADFILM,CINEMA000332SCREEN-6ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-6SLIDE,CINEMA000332SCREEN-6SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-6SLIDE,CINEMA000332SCREEN-6SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-7ADFILM,CINEMA000332SCREEN-7ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-7ADFILM,CINEMA000332SCREEN-7ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-7SLIDE,CINEMA000332SCREEN-7SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Gt Central, Malviya Nagar, Jaipur, Rajasthan",CINEMA000332,SCREEN-7SLIDE,CINEMA000332SCREEN-7SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-1ADFILM,CINEMA000333SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-1ADFILM,CINEMA000333SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-1SLIDE,CINEMA000333SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-1SLIDE,CINEMA000333SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-2ADFILM,CINEMA000333SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-2ADFILM,CINEMA000333SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-2SLIDE,CINEMA000333SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-2SLIDE,CINEMA000333SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-3ADFILM,CINEMA000333SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-3ADFILM,CINEMA000333SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-3SLIDE,CINEMA000333SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Jtm Mall, Jagatpura, Jaipur, Rajasthan",CINEMA000333,SCREEN-3SLIDE,CINEMA000333SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-1ADFILM,CINEMA000334SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-1ADFILM,CINEMA000334SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-1SLIDE,CINEMA000334SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-1SLIDE,CINEMA000334SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-2ADFILM,CINEMA000334SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-2ADFILM,CINEMA000334SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-2SLIDE,CINEMA000334SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-2SLIDE,CINEMA000334SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-3ADFILM,CINEMA000334SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-3ADFILM,CINEMA000334SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-3SLIDE,CINEMA000334SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-3SLIDE,CINEMA000334SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-4ADFILM,CINEMA000334SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-4ADFILM,CINEMA000334SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-4SLIDE,CINEMA000334SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Pink Square Mall, Raja Park, Jaipur, Rajasthan",CINEMA000334,SCREEN-4SLIDE,CINEMA000334SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Sunny Trade Center, Jaipur, Rajasthan",CINEMA000335,SCREEN-1ADFILM,CINEMA000335SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Sunny Trade Center, Jaipur, Rajasthan",CINEMA000335,SCREEN-1ADFILM,CINEMA000335SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
